FB.ID,Gene.Symbol,Chr.Arm,Start,Stop
FBgn0037255,Fip1,3R,4485008,4487677
FBgn0085386,CG34357,3R,4491943,4558067
FBgn0085454,CG34425,3R,4504612,4506365
FBgn0051526,CG31526,3R,4533248,4533940
FBgn0037260,Mur82C,3R,4541356,4543215
FBgn0052945,CG32945,3R,4577939,4578644
FBgn0267118,CR45558,3R,4585178,4589308
FBgn0265376,CR44317,3R,4596283,4599749
FBgn0087012,5-HT2A,3R,4612870,4633304
FBgn0267233,CR45673,3R,4634975,4635655
FBgn0037261,CG9775,3R,4638010,4641838
FBgn0037262,MED31,3R,4641963,4643292
FBgn0037263,slx1,3R,4641963,4644636
FBgn0040466,Dlip2,3R,4644649,4645655
FBgn0022981,rpk,3R,4645981,4648884
FBgn0265038,CR44155,3R,4646433,4648242
FBgn0087013,Karybeta3,3R,4649176,4654624
FBgn0037265,spartin,3R,4654800,4657985
FBgn0263346,CG43427,3R,4659579,4712193
FBgn0265039,CR44156,3R,4660527,4660939
FBgn0265040,CR44157,3R,4673977,4674610
FBgn0053927,CG33927,3R,4689951,4690608
FBgn0037270,CG9769,3R,4712882,4714182
FBgn0266228,CR44923,3R,4718589,4719399
FBgn0027570,Nep2,3R,4719458,4731878
FBgn0026620,tacc,3R,4733654,4749056
FBgn0267812,CR46137,3R,4737500,4737908
FBgn0010750,atms,3R,4750035,4777490
FBgn0264907,CG44098,3R,4750409,4773197
FBgn0264897,CG44088,3R,4774516,4775053
FBgn0037275,CG14655,3R,4777497,4780302
FBgn0037276,CG17387,3R,4781120,4784722
FBgn0260794,ctrip,3R,4786284,4812096
FBgn0026417,Hus1-like,3R,4808336,4812096
FBgn0037279,CG1129,3R,4811444,4816025
FBgn0037280,CG1126,3R,4816318,4817776
FBgn0037282,CG14657,3R,4817980,4821432
FBgn0037283,CG14658,3R,4829911,4830513
FBgn0037284,CG14659,3R,4830849,4831297
FBgn0003002,opa,3R,4852813,4869979
FBgn0020280,laf,3R,4876005,4878533
FBgn0267140,CR45580,3R,4896417,4897287
FBgn0004913,Gnf1,3R,4906622,4910081
FBgn0265082,Cdep,3R,4910552,4945576
FBgn0266698,CR45188,3R,4946078,4947278
FBgn0004183,snRNA:U1:82Eb,3R,4947933,4948096
FBgn0004436,Ubc6,3R,4948755,4952682
FBgn0037288,CG14661,3R,4953506,4955252
FBgn0250839,CG2016,3R,4956999,4961351
FBgn0037290,CG1124,3R,4965445,4968485
FBgn0037291,CG14662,3R,4981999,4984232
FBgn0263455,CR43478,3R,4982265,4983904
FBgn0263343,CR43424,3R,4984498,4986120
FBgn0037292,CG2022,3R,4986500,5011031
FBgn0267145,CR45585,3R,5015624,5021474
FBgn0263626,CR43635,3R,5045207,5045948
FBgn0267148,CR45588,3R,5053181,5053738
FBgn0010313,corto,3R,5077779,5087072
FBgn0262605,CG43131,3R,5108678,5109178
FBgn0037293,CG12007,3R,5128087,5129939
FBgn0040684,CG12589,3R,5137057,5138989
FBgn0037295,dpr16,3R,5150908,5170121
FBgn0037294,CG12590,3R,5159612,5160901
FBgn0259212,cno,3R,5170004,5217456
FBgn0263018,snRNA:U4atac:82E,3R,5195004,5195163
FBgn0037296,Prosbeta2R2,3R,5217751,5219528
FBgn0037297,CG1116,3R,5219657,5221548
FBgn0037298,CG2604,3R,5221632,5223365
FBgn0040682,CG14664,3R,5224139,5225542
FBgn0037299,Vps37B,3R,5226158,5227526
FBgn0040208,Kat60,3R,5227289,5232209
FBgn0037301,Mms19,3R,5232543,5236288
FBgn0087005,rtp,3R,5236092,5237315
FBgn0260462,CG12163,3R,5237651,5251745
FBgn0053293,CG33293,3R,5240014,5240735
FBgn0264789,CR44019,3R,5250913,5252132
FBgn0037304,CG1113,3R,5253153,5255403
FBgn0037305,CG12173,3R,5255444,5256681
FBgn0264785,Hph,3R,5257037,5269507
FBgn0037307,Tim17a2,3R,5258336,5262692
FBgn0267443,CR45793,3R,5263757,5264511
FBgn0266393,CR45033,3R,5269081,5269507
FBgn0013576,mtd,3R,5270116,5350443
FBgn0051538,CG31538,3R,5275678,5277835
FBgn0037310,Tim17b1,3R,5300145,5301186
FBgn0037312,CG11999,3R,5353717,5354747
FBgn0037313,CG1161,3R,5355092,5356748
FBgn0250746,Prosbeta7,3R,5357012,5358364
FBgn0037315,Cerk,3R,5358873,5368306
FBgn0264912,CR44103,3R,5368481,5368806
FBgn0051542,CG31542,3R,5369540,5371744
FBgn0085306,CG34277,3R,5369540,5371744
FBgn0003275,RpII18,3R,5371795,5372397
FBgn0086695,hd,3R,5372592,5374962
FBgn0037317,CG14667,3R,5375022,5376460
FBgn0041707,7B2,3R,5376780,5377975
FBgn0001311,kkv,3R,5378093,5392866
FBgn0037320,CG14668,3R,5386717,5387664
FBgn0011965,tRNA:R:83AB,3R,5388228,5388300
FBgn0264712,CG1172,3R,5393922,5399510
FBgn0037322,Or83a,3R,5397643,5399196
FBgn0037323,CG2663,3R,5400594,5404135
FBgn0037324,Orco,3R,5407183,5412406
FBgn0037326,CG14669,3R,5414527,5458394
FBgn0037325,CG12147,3R,5425369,5427257
FBgn0037327,PEK,3R,5458563,5464753
FBgn0037328,RpL35A,3R,5465630,5467101
FBgn0037329,POLDIP2,3R,5467778,5469566
FBgn0037330,mRpL44,3R,5469463,5470636
FBgn0011715,Snr1,3R,5470926,5472754
FBgn0025825,HDAC3,3R,5472810,5474600
FBgn0266539,CG45100,3R,5472810,5474600
FBgn0037332,Hcs,3R,5474899,5485393
FBgn0015402,ksr,3R,5478390,5483906
FBgn0051550,CG31550,3R,5485543,5489489
FBgn0051547,CG31547,3R,5489505,5502702
FBgn0010399,Nmdar1,3R,5508842,5523328
FBgn0010051,Itp-r83A,3R,5517117,5539411
FBgn0264427,CR43845,3R,5522299,5523120
FBgn0037336,CG2519,3R,5539510,5547775
FBgn0014342,mia,3R,5548115,5551168
FBgn0086768,Pcmt,3R,5552823,5554316
FBgn0037338,Snm1,3R,5555084,5557786
FBgn0037339,Pi4KIIalpha,3R,5557663,5563652
FBgn0263484,snoRNA:Pi4KIIalpha-a,3R,5559878,5560038
FBgn0267811,CR46136,3R,5560472,5561573
FBgn0037340,CG14671,3R,5563977,5564815
FBgn0037341,CG12746,3R,5564865,5567435
FBgn0037342,CG2931,3R,5567502,5568615
FBgn0041191,Rheb,3R,5568921,5570491
FBgn0023023,CRMP,3R,5571108,5579189
FBgn0037344,CG2926,3R,5579301,5588380
FBgn0037345,rev7,3R,5588873,5589703
FBgn0014366,noi,3R,5589601,5591459
FBgn0015324,Vha26,3R,5591763,5595356
FBgn0250753,kra,3R,5595364,5601136
FBgn0082961,snoRNA:Psi28S-3385b,3R,5596201,5596340
FBgn0082962,snoRNA:Psi28S-3385a,3R,5596360,5596509
FBgn0082978,snoRNA:Psi28S-3091b,3R,5596526,5596658
FBgn0082979,snoRNA:Psi28S-3091a,3R,5596697,5596831
FBgn0082954,snoRNA:Psi28S-3571,3R,5597596,5597739
FBgn0086662,snoRNA:Psi28S-3186,3R,5598015,5598157
FBgn0082988,snoRNA:Psi28S-2442b,3R,5598423,5598566
FBgn0082989,snoRNA:Psi28S-2442a,3R,5598638,5598777
FBgn0037347,CG1427,3R,5601433,5603185
FBgn0261004,asl,3R,5603236,5606543
FBgn0017550,Rga,3R,5607275,5613112
FBgn0263619,CR43628,3R,5607799,5609320
FBgn0267810,CR46135,3R,5613280,5616308
FBgn0019637,Atu,3R,5613358,5615939
FBgn0044823,Spec2,3R,5616644,5624125
FBgn0037350,CG2911,3R,5622119,5624125
FBgn0037351,RpL13A,3R,5624474,5625947
FBgn0260002,snoRNA:Me28S-U2134b,3R,5625178,5625254
FBgn0086051,snoRNA:Me28S-U2134a,3R,5625367,5625441
FBgn0051551,CG31551,3R,5627852,5632033
FBgn0051549,CG31549,3R,5632192,5633321
FBgn0037354,CG12171,3R,5633627,5634640
FBgn0051546,CG31546,3R,5634626,5635624
FBgn0051548,CG31548,3R,5635901,5636852
FBgn0037356,CG12170,3R,5637234,5638657
FBgn0027951,MTA1-like,3R,5638655,5648738
FBgn0262125,Sec23,3R,5649065,5652629
FBgn0037358,elm,3R,5652640,5654861
FBgn0037359,MED27,3R,5655139,5656336
FBgn0037360,CG2182,3R,5656236,5659912
FBgn0264902,CR44093,3R,5659477,5660570
FBgn0046222,CG1109,3R,5660635,5665169
FBgn0267809,CR46134,3R,5662901,5665032
FBgn0010772,Xe7,3R,5665139,5669334
FBgn0037363,Atg17,3R,5669713,5679930
FBgn0037364,Rab23,3R,5680054,5685434
FBgn0261261,plx,3R,5685855,5712837
FBgn0037365,CG2104,3R,5690891,5693286
FBgn0004878,cas,3R,5712975,5716805
FBgn0266229,CR44924,3R,5724047,5725321
FBgn0037368,CG1239,3R,5733513,5734702
FBgn0037369,CG2100,3R,5734698,5736355
FBgn0037370,CG1236,3R,5736748,5738013
FBgn0037371,Sym,3R,5738178,5742476
FBgn0027497,Madm,3R,5742510,5747138
FBgn0037372,CG2091,3R,5753318,5754774
FBgn0266672,Sec8,3R,5754932,5758997
FBgn0027608,CG2082,3R,5758680,5781076
FBgn0037374,jagn,3R,5779315,5781308
FBgn0037375,kat-60L1,3R,5781762,5787465
FBgn0037376,CG2051,3R,5787337,5789384
FBgn0028690,Rpn5,3R,5789493,5791569
FBgn0037377,CG1218,3R,5791879,5793383
FBgn0037378,CG2046,3R,5793308,5794317
FBgn0037379,CG10979,3R,5794705,5799994
FBgn0263353,CG11000,3R,5802328,5813258
FBgn0261561,CG42675,3R,5813609,5818820
FBgn0037382,Hpr1,3R,5818794,5821440
FBgn0037383,CG2023,3R,5822026,5824532
FBgn0037384,dgrn,3R,5824615,5826576
FBgn0037385,glob3,3R,5830062,5831785
FBgn0037386,CG1208,3R,5831639,5838782
FBgn0266702,CR45192,3R,5835478,5836178
FBgn0037387,CG1213,3R,5841170,5846568
FBgn0037388,CG14676,3R,5847220,5848177
FBgn0037389,CR10991,3R,5848953,5849688
FBgn0029088,disp,3R,5849697,5856311
FBgn0085316,CG34287,3R,5853332,5854282
FBgn0028436,ECSIT,3R,5856585,5857914
FBgn0037391,CG2017,3R,5858083,5862405
FBgn0267808,CR46133,3R,5858195,5858894
FBgn0083949,CG34113,3R,5862865,5959555
FBgn0267399,CR45761,3R,5890842,5891926
FBgn0267400,CR45762,3R,5914316,5915335
FBgn0040679,CG11373,3R,5960294,5960987
FBgn0266230,CR44925,3R,5965806,5966411
FBgn0266231,CR44926,3R,5969983,5970598
FBgn0011281,Obp83a,3R,5972155,5975245
FBgn0010403,Obp83b,3R,5976177,5976817
FBgn0266232,CR44927,3R,5989227,5990341
FBgn0266233,CR44928,3R,5994791,5995817
FBgn0003261,Rm62,3R,6000426,6008579
FBgn0037395,CG10280,3R,6010573,6011932
FBgn0037396,CG11459,3R,6025826,6027238
FBgn0037397,CR1075,3R,6027767,6028621
FBgn0267941,CR46221,3R,6037787,6038372
FBgn0266226,CR44921,3R,6053028,6053528
FBgn0037398,CG15580,3R,6054712,6057536
FBgn0037399,Or83c,3R,6076804,6078283
FBgn0026077,Gasp,3R,6088799,6100887
FBgn0266234,CR44929,3R,6101958,6104863
FBgn0046878,Obp83cd,3R,6108134,6109733
FBgn0046876,Obp83ef,3R,6109642,6111034
FBgn0046875,Obp83g,3R,6111671,6112302
FBgn0037402,Vha14-2,3R,6122592,6124405
FBgn0263497,CR43486,3R,6126476,6127152
FBgn0263498,CR43487,3R,6127229,6127955
FBgn0051559,CG31559,3R,6150116,6157235
FBgn0037405,CG1077,3R,6167483,6170309
FBgn0037406,Osi1,3R,6173549,6174971
FBgn0051562,CR31562,3R,6184455,6185629
FBgn0037408,NPFR,3R,6187315,6195403
FBgn0037409,Osi24,3R,6198811,6207678
FBgn0037410,Osi2,3R,6209373,6213493
FBgn0037411,Osi3,3R,6215832,6218199
FBgn0037412,Osi4,3R,6218318,6221781
FBgn0037413,Osi5,3R,6227512,6228828
FBgn0027527,Osi6,3R,6234708,6237181
FBgn0037414,Osi7,3R,6248994,6251683
FBgn0037415,Osi8,3R,6255175,6256602
FBgn0037416,Osi9,3R,6260211,6262105
FBgn0037417,Osi10,3R,6263976,6267395
FBgn0037418,Osi11,3R,6267591,6268757
FBgn0037419,Osi12,3R,6278531,6282495
FBgn0037420,CG15597,3R,6284462,6285200
FBgn0037421,CG15594,3R,6287733,6289824
FBgn0037422,Osi13,3R,6291737,6293489
FBgn0040279,Osi14,3R,6299128,6300738
FBgn0037424,Osi15,3R,6301804,6303653
FBgn0051561,Osi16,3R,6305247,6306366
FBgn0267690,CG46026,3R,6306884,6309030
FBgn0051560,CG31560,3R,6309976,6310998
FBgn0037427,Osi17,3R,6311772,6327308
FBgn0037428,Osi18,3R,6330248,6331809
FBgn0037429,Osi19,3R,6335362,6337196
FBgn0037430,Osi20,3R,6340095,6341424
FBgn0037431,CG17917,3R,6341968,6342873
FBgn0037432,CG10298,3R,6343002,6343799
FBgn0037433,CG17919,3R,6344029,6345087
FBgn0261789,SmD2,3R,6345000,6345911
FBgn0037435,CG18048,3R,6346111,6347519
FBgn0037436,Hr83,3R,6349243,6350512
FBgn0267698,Pak,3R,6350896,6361614
FBgn0261641,CG42724,3R,6361672,6368288
FBgn0037439,CG10286,3R,6368965,6371115
FBgn0037440,CRAT,3R,6371026,6376044
FBgn0260766,CG42564,3R,6374475,6377348
FBgn0261006,snoRNA:83E4-5,3R,6375359,6375498
FBgn0027514,CG1024,3R,6377349,6380328
FBgn0260645,CG42537,3R,6377797,6378233
FBgn0010282,TfIIFalpha,3R,6380467,6382604
FBgn0037442,godzilla,3R,6382914,6388304
FBgn0037443,Dmtn,3R,6389162,6405895
FBgn0264495,gpp,3R,6406855,6449274
FBgn0264787,CR44017,3R,6408978,6409578
FBgn0037445,CG9727,3R,6449944,6456676
FBgn0037446,Zif,3R,6457088,6458822
FBgn0037447,Neurochondrin,3R,6468437,6471016
FBgn0037448,CG15186,3R,6478311,6495025
FBgn0011919,tRNA:M2:83F,3R,6496039,6496111
FBgn0037449,CG15185,3R,6527508,6528674
FBgn0053202,dpr11,3R,6529169,6593330
FBgn0046873,Pif2,3R,6549036,6549983
FBgn0267807,CR46132,3R,6554317,6554999
FBgn0037454,CG1137,3R,6558618,6560351
FBgn0037455,CG2336,3R,6580784,6582271
FBgn0267806,CR46131,3R,6585431,6586105
FBgn0037456,CG1138,3R,6596625,6598022
FBgn0051482,CG31482,3R,6601242,6602201
FBgn0250846,glob2,3R,6605997,6608914
FBgn0037460,sowi,3R,6626930,6627900
FBgn0037461,CG15177,3R,6628204,6629321
FBgn0037462,sunz,3R,6630151,6631184
FBgn0051286,CG31286,3R,6641232,6643346
FBgn0026565,CG1315,3R,6642262,6644434
FBgn0010355,Taf1,3R,6646889,6656048
FBgn0026566,CG1307,3R,6656030,6657442
FBgn0262801,twr,3R,6657882,6659442
FBgn0024912,agt,3R,6658806,6660100
FBgn0002522,lab,3R,6661427,6678590
FBgn0000552,Edg84A,3R,6684445,6685157
FBgn0004777,Ccp84Ag,3R,6686728,6688039
FBgn0004778,Ccp84Af,3R,6689602,6690239
FBgn0004779,Ccp84Ae,3R,6690887,6691758
FBgn0004780,Ccp84Ad,3R,6692732,6693527
FBgn0004781,Ccp84Ac,3R,6695148,6696271
FBgn0063127,pncr002:3R,3R,6699560,6700164
FBgn0004782,Ccp84Ab,3R,6701968,6702877
FBgn0004783,Ccp84Aa,3R,6704084,6704903
FBgn0051481,pb,3R,6707800,6742063
FBgn0004054,zen2,3R,6743135,6744136
FBgn0085326,CG34297,3R,6747068,6748007
FBgn0004053,zen,3R,6752864,6754194
FBgn0000166,bcd,3R,6755842,6759466
FBgn0267153,CR45593,3R,6761513,6763478
FBgn0000071,Ama,3R,6762593,6765261
FBgn0266235,CR44930,3R,6765485,6766709
FBgn0261638,CR42721,3R,6767050,6779728
FBgn0262174,mir-993,3R,6776333,6776451
FBgn0263383,CR43435,3R,6778117,6778952
FBgn0000439,Dfd,3R,6791836,6802428
FBgn0261503,CR42651,3R,6808796,6816379
FBgn0262424,mir-10,3R,6809506,6809582
FBgn0267575,CR45915,3R,6810819,6811246
FBgn0051485,tRNA:CR31485:Psi,3R,6819266,6819338
FBgn0026162,tRNA:K5:84ABd,3R,6819894,6819966
FBgn0261504,7SLRNA:CR42652,3R,6820133,6820431
FBgn0026163,tRNA:K5:84ABc,3R,6821068,6821140
FBgn0026164,tRNA:K5:84ABb,3R,6821789,6821861
FBgn0000003,7SLRNA:CR32864,3R,6822498,6822796
FBgn0011904,tRNA:K5:84ABa,3R,6822963,6823035
FBgn0003339,Scr,3R,6823120,6849981
FBgn0267561,CR45901,3R,6833363,6834247
FBgn0267562,CR45902,3R,6834343,6834967
FBgn0267563,CR45903,3R,6835380,6835690
FBgn0267564,CR45904,3R,6835869,6836358
FBgn0267565,CR45905,3R,6836666,6837608
FBgn0267560,CR45900,3R,6858839,6859192
FBgn0001077,ftz,3R,6864324,6866244
FBgn0266236,CR44931,3R,6877678,6885278
FBgn0267119,CR45559,3R,6892918,6893462
FBgn0266237,CR44932,3R,6895178,6896128
FBgn0260642,Antp,3R,6896253,6999228
FBgn0262897,CR43252,3R,6903442,6904682
FBgn0267559,CR45899,3R,7000492,7001423
FBgn0266238,CR44933,3R,7037878,7039678
FBgn0024289,Sodh-1,3R,7052335,7054541
FBgn0026563,CG1979,3R,7054586,7058671
FBgn0019828,dj,3R,7059315,7060524
FBgn0037463,djl,3R,7060767,7061919
FBgn0037464,CG1988,3R,7062175,7064370
FBgn0037465,CG1105,3R,7064186,7067136
FBgn0037466,CG1965,3R,7067401,7071624
FBgn0037467,CG1104,3R,7071624,7074452
FBgn0267568,CR45908,3R,7074776,7075487
FBgn0037468,CG1943,3R,7074859,7077981
FBgn0010774,Ref1,3R,7077904,7080387
FBgn0037469,Dpck,3R,7082182,7083251
FBgn0037470,Tailor,3R,7083225,7086083
FBgn0267567,CR45907,3R,7085660,7086140
FBgn0003884,alphaTub84B,3R,7086599,7088839
FBgn0263768,CR43685,3R,7092347,7093707
FBgn0040670,e(y)2b,3R,7093935,7094727
FBgn0261238,Alh,3R,7094596,7124185
FBgn0267566,CR45906,3R,7110012,7110264
FBgn0014863,Mlp84B,3R,7112850,7117732
FBgn0037472,CG10098,3R,7124548,7126503
FBgn0037473,CG10068,3R,7126271,7128027
FBgn0262149,CR42875,3R,7128087,7129067
FBgn0051248,CG31248,3R,7129320,7130908
FBgn0051494,tRNA:CR31494,3R,7129864,7129935
FBgn0051491,tRNA:CR31491,3R,7130947,7131018
FBgn0051493,CG31493,3R,7131560,7132695
FBgn0037475,Fer1,3R,7136206,7141972
FBgn0261702,CR42738,3R,7143487,7144295
FBgn0037477,CG14610,3R,7143729,7144295
FBgn0037478,CG2656,3R,7144724,7151270
FBgn0250732,gfzf,3R,7145880,7150968
FBgn0011020,Sas-4,3R,7151367,7154219
FBgn0037481,MAGE,3R,7154238,7155180
FBgn0267569,CR45909,3R,7159229,7162936
FBgn0002306,sas,3R,7162808,7183702
FBgn0037482,CG10055,3R,7184101,7186673
FBgn0086372,lap,3R,7186994,7200941
FBgn0037483,CG14609,3R,7200970,7203450
FBgn0250845,CG1288,3R,7206652,7208431
FBgn0037485,CG14606,3R,7214339,7217083
FBgn0037486,CG14605,3R,7217679,7219705
FBgn0037487,CG14608,3R,7224414,7241138
FBgn0037488,CG14607,3R,7241760,7244006
FBgn0037489,CG1234,3R,7244232,7246969
FBgn0037490,CG10053,3R,7247090,7248140
FBgn0037491,CG1227,3R,7248151,7249738
FBgn0037492,CG10050,3R,7249795,7251750
FBgn0011282,Obp84a,3R,7250725,7251957
FBgn0001112,Gld,3R,7252063,7265703
FBgn0265426,CR44338,3R,7263440,7264292
FBgn0028400,Syt4,3R,7266065,7270809
FBgn0037493,CG10032,3R,7271592,7272509
FBgn0267337,rn,3R,7272617,7309629
FBgn0265421,CR44333,3R,7285230,7285595
FBgn0045843,RacGAP84C,3R,7285962,7287629
FBgn0260713,CG42544,3R,7304592,7304954
FBgn0265422,CR44334,3R,7312338,7312858
FBgn0267805,CR46130,3R,7315399,7315661
FBgn0037498,CG10029,3R,7315724,7317207
FBgn0267942,CR46222,3R,7318039,7318261
FBgn0267943,CR46223,3R,7318403,7318803
FBgn0267944,CR46224,3R,7318988,7319232
FBgn0265423,CG44335,3R,7325597,7326459
FBgn0265424,CR44336,3R,7326481,7327083
FBgn0265425,CR44337,3R,7331500,7332002
FBgn0051496,CG31496,3R,7345069,7346354
FBgn0051501,nxf4,3R,7346730,7347836
FBgn0262982,CG43290,3R,7348849,7349552
FBgn0037500,CG17944,3R,7361368,7362123
FBgn0004175,Mst84Dd,3R,7363307,7363773
FBgn0004174,Mst84Dc,3R,7364254,7364673
FBgn0004173,Mst84Db,3R,7365160,7365627
FBgn0004172,Mst84Da,3R,7365850,7366262
FBgn0015770,MstProx,3R,7365939,7369305
FBgn0267120,CR45560,3R,7387444,7388319
FBgn0261502,CG42650,3R,7391413,7392280
FBgn0037501,Ir84a,3R,7406869,7409384
FBgn0051544,CG31544,3R,7418998,7420132
FBgn0054023,CG34023,3R,7420268,7420698
FBgn0037502,wa-cup,3R,7420765,7423057
FBgn0037503,CG14598,3R,7439760,7441976
FBgn0011999,tRNA:V3b:84Db,3R,7451297,7451369
FBgn0263565,mir-4950,3R,7451452,7451543
FBgn0011998,tRNA:V3b:84Da,3R,7452060,7452132
FBgn0266239,CR44934,3R,7467940,7468662
FBgn0012000,tRNA:V3b:84Dc,3R,7472060,7472132
FBgn0037504,CG1142,3R,7472458,7473781
FBgn0043853,scaRNA:MeU5-C46,3R,7472907,7473222
FBgn0065099,snRNA:7SK,3R,7474553,7474996
FBgn0012001,tRNA:V3b:84Dd,3R,7475903,7475975
FBgn0015569,alpha-Est10,3R,7486583,7493845
FBgn0261508,CG42656,3R,7492961,7493271
FBgn0015577,alpha-Est9,3R,7493921,7505098
FBgn0037506,CG1287,3R,7500951,7502376
FBgn0015576,alpha-Est8,3R,7509343,7515670
FBgn0017456,Ubc84D,3R,7518820,7519456
FBgn0015575,alpha-Est7,3R,7519563,7523753
FBgn0015574,alpha-Est6,3R,7524567,7528777
FBgn0027934,alpha-Est4aPsi,3R,7526369,7528068
FBgn0015831,Rtnl2,3R,7528864,7530241
FBgn0003885,alphaTub84D,3R,7530753,7532732
FBgn0261393,alpha-Est5,3R,7533496,7536390
FBgn0015572,alpha-Est4,3R,7536687,7538615
FBgn0267803,CR46128,3R,7537842,7541279
FBgn0015571,alpha-Est3,3R,7538972,7541631
FBgn0015570,alpha-Est2,3R,7541810,7545230
FBgn0267804,CR46129,3R,7544843,7545250
FBgn0015568,alpha-Est1,3R,7545733,7549124
FBgn0267105,CG45545,3R,7552008,7552298
FBgn0083963,Nlg3,3R,7570281,7639434
FBgn0265420,CR44332,3R,7626882,7627290
FBgn0051146,Nlg1,3R,7658247,7694874
FBgn0265200,CR44260,3R,7720049,7721124
FBgn0037512,CG2616,3R,7722417,7724715
FBgn0262899,CG43254,3R,7738965,7739563
FBgn0266240,CR44935,3R,7740178,7740778
FBgn0037513,pyd3,3R,7747913,7750079
FBgn0037514,CG10919,3R,7758122,7759677
FBgn0037515,Sp7,3R,7759786,7763947
FBgn0037516,CG11286,3R,7770860,7771756
FBgn0267945,CR46225,3R,7774029,7774583
FBgn0267946,CR46226,3R,7775410,7775768
FBgn0042104,CG18747,3R,7780884,7783446
FBgn0042102,CG18745,3R,7783843,7786119
FBgn0042105,CG18748,3R,7786170,7787923
FBgn0042103,CG18746,3R,7788282,7790187
FBgn0037517,CG10086,3R,7790633,7793483
FBgn0037518,CG2641,3R,7794069,7796599
FBgn0042101,CG18744,3R,7797078,7798771
